utc_timestamp,actual,sarima,sarimax,random_forest,gradient_boosting
2018-10-14,55848.94047619047,57056.91507141784,57527.12005124315,56010.423798643824,56369.825159863896
2018-10-21,55762.125,56963.14940786223,57938.33863501446,56652.21822274188,56870.28505025767
2018-10-28,58684.71428571428,57909.87353905677,58983.069805985106,57659.294149258334,57800.93468182617
2018-11-04,55917.58928571428,55181.7623362252,55881.420969421146,55600.07578983677,55243.10490374785
2018-11-11,58163.47023809524,60578.74569195574,60476.49452574596,58433.387666123395,57962.353520748926
2018-11-18,59696.083333333336,61190.90640291699,61606.457942026645,58912.15453021069,57882.1621588363
2018-11-25,61553.36309523809,61298.23835947343,62570.84558142704,61135.0751262046,61385.62885424061
2018-12-02,62379.15476190476,62327.23158192247,63500.27679105756,61436.13893279949,61630.323164919304
2018-12-09,62322.69047619047,63363.6986573105,63932.24758535021,60933.6533036187,61990.81050449164
2018-12-16,63243.5,63019.58790132005,63598.45504402384,61920.8913178855,61443.55699966835
2018-12-23,59408.55952380953,58291.44805916626,58808.926668324355,60266.204474442566,60708.00552145289
2018-12-30,49075.583333333336,49397.202937092145,49642.58246625323,50404.20091099771,49215.99381912117
2019-01-06,53805.875,56464.92854703433,56787.805504227974,53535.59500576339,50339.28049841849
2019-01-13,62372.20238095238,61131.21580970994,61512.0991716648,59364.21800318877,59147.23841448559
2019-01-20,62423.494047619046,62785.75596070763,63137.2083713357,61714.77419619238,61855.30496923859
2019-01-27,63587.01190476191,61538.83659481633,62767.13964008969,61839.2545410998,62046.55537582467
2019-02-03,62088.767857142855,61796.84736148061,62510.814084697406,61450.66265440763,60929.13496070325
2019-02-10,62359.53571428572,62144.748102258185,62015.449155701855,60759.781594033484,61181.73645576906
2019-02-17,60799.005952380954,61490.193716347894,61702.022777594,60242.42304013136,60854.41300220346
2019-02-24,59467.517857142855,61310.885129015915,61493.115054577735,59777.75552536849,59999.91270638399
2019-03-03,58481.82142857143,63281.44989522023,62583.580355226906,59506.32700708618,59729.918915280796
2019-03-10,58990.95238095238,60009.713420698616,60080.882644754565,58462.546951483375,57945.149590489644
2019-03-17,60078.91071428572,61115.09707431582,61112.19380958922,59438.19881746033,60166.27339092346
2019-03-24,57649.36309523809,60728.862269067045,60697.44907325223,59408.08155947658,60103.09936286057
2019-03-31,56771.51190476191,56096.63301170898,58781.16076765249,55843.3205779607,56340.277160967984
2019-04-07,56433.857142857145,55464.83791585992,57154.944648818106,55607.71654487907,56006.57506173598
2019-04-14,56765.97023809524,56287.04126608949,58121.582298948655,55694.198072169915,56173.20001712902
2019-04-21,51656.26190476191,55220.46938906651,53153.61827410215,54578.03428680994,53868.86695489935
2019-04-28,52336.75,56284.03165235589,54935.46312586009,54521.68962467839,53904.312789613825
2019-05-05,53123.17261904762,53785.753446594936,54716.8914225333,53489.78995639644,52955.26871086589
2019-05-12,56023.57738095238,53973.8232534388,56520.180137570576,53569.89341144723,54371.25229901402
2019-05-19,55285.59523809524,55860.30044688863,56901.76569580771,55240.94646663703,55794.38821163733
2019-05-26,54945.35119047619,53957.39346966574,56252.88253304393,54990.043144583215,55413.134123616415
2019-06-02,51308.80357142857,54802.21296477307,54255.61525620751,54675.799962243225,53880.81351180188
2019-06-09,54528.16071428572,56410.63602540855,56773.86437847966,54982.87344446806,55466.87656471693
2019-06-16,52286.708333333336,56099.02697695801,54453.327844864776,53862.06991168272,53459.999833766415
2019-06-23,52541.21428571428,56884.94559251667,56919.41532766789,53478.07335142669,55103.13242855477
2019-06-30,55955.28571428572,56273.71452057394,56066.77950533134,54562.58245153062,55080.106490482955
2019-07-07,55179.630952380954,56554.190548131846,57254.321791992996,54474.91936104026,54814.75352083982
2019-07-14,53908.166666666664,54851.704392142354,55548.45948224743,54474.85794493209,54622.81717990985
2019-07-21,53511.96428571428,54461.22988597826,55188.3375751524,54244.31808741795,54189.78134151107
2019-07-28,54207.10119047619,55528.272345360696,55842.693464921365,54908.1166023279,55237.83678282304
2019-08-04,52392.10119047619,55343.05198380812,56210.420627039115,54018.47913484978,53944.6130370925
2019-08-11,52019.05357142857,54703.14780482984,55346.90095078802,52993.21184325397,52681.70880882896
2019-08-18,51155.23809523809,53937.28683836339,54732.38589602485,52429.825589569184,52586.23010061626
2019-08-25,51838.130952380954,55140.251945417345,55508.06863607609,53081.93099964571,52603.17354713148
2019-09-01,54091.97023809524,55125.75072150755,54839.43919881841,53746.49124489798,54205.67150825577
2019-09-08,52443.16071428572,55495.30700804211,56242.12845289926,53790.22539399095,53836.97322231053
2019-09-15,53348.48809523809,55865.937839480604,56582.028342672245,54027.83532390873,53769.73813579901
2019-09-22,53222.54761904762,56902.42675006915,57801.53334887965,56465.75120722319,56504.16178270912
2019-09-29,54829.47619047619,56697.87829035456,56909.90291516611,54338.85110296202,54566.168192262056
2019-10-06,52330.630952380954,55059.72527931328,55714.02712645592,54139.49301239967,53739.00490551734
2019-10-13,55801.708333333336,57803.81916520523,58879.8325907766,55163.010110473326,54569.27010785835
2019-10-20,56132.791666666664,57776.993960327396,58808.75659420923,55624.206511267,55650.39333251274
2019-10-27,56484.41071428572,58698.88613499554,59576.11455600472,57270.704806996415,56785.81844630492
2019-11-03,55029.630952380954,55891.27388559433,57323.29226563785,55432.05454712301,55058.031106910676
2019-11-10,58159.36309523809,61204.05571381895,61804.090001966266,57984.92774449642,57165.83775730423
2019-11-17,59112.23809523809,61829.819584102384,62870.47542902721,58802.68220344389,58521.9901174429
2019-11-24,59735.94047619047,62004.92503114267,63034.03487794882,59558.03590896638,59861.68910943644
2019-12-01,59842.833333333336,63083.50447215881,64156.86619919003,59886.93205952382,60314.48784541763
2019-12-08,61059.29761904762,64096.29522666811,65282.84560990351,60577.70760983559,61061.5219610722
2019-12-15,61242.19047619047,63690.78076313438,64367.35593517958,61041.213130243756,61272.05529397528
2019-12-22,56836.767857142855,58927.36971010474,59562.579706300596,60494.05817998867,60686.872997958766
2019-12-29,46505.30952380953,50072.96867824599,50929.54805469791,50238.25956235825,48453.667491812164
2020-01-05,50161.70238095238,57198.151681582654,57916.71091081886,51899.658908966354,49490.09696867653
2020-01-12,59077.59523809524,61875.6174626505,62354.909723581746,59005.27552033731,58136.091260108326
2020-01-19,60361.69642857143,63506.55588641331,63694.7424865812,59556.22687868484,59606.282304186076
2020-01-26,60893.732142857145,62234.76105272648,63391.344161361965,61384.21053491116,61886.70841800901
2020-02-02,60839.19642857143,62469.27773088129,62853.14179472606,60146.27747578895,60061.60615531508
2020-02-09,60259.83928571428,62833.206701531286,62893.680114128954,60382.59357830216,60321.800858417504
2020-02-16,60845.125,62201.92009442254,62637.376968838405,60275.60414321146,60289.863354979956
2020-02-23,59787.32738095238,62027.43127292748,62287.20059757345,60081.02931578328,60123.81184285941
2020-03-01,58899.13690476191,63965.33250198376,63710.06239485491,59270.93514165249,59639.57409016418
2020-03-08,58688.47023809524,60696.29949223314,61446.83582392677,59076.23608134922,59370.5849217136
2020-03-15,58534.23809523809,61784.420489745404,62086.64643157974,59248.11746423848,58515.43433867513
2020-03-22,55372.744047619046,61405.29626027534,61769.861651082356,58520.819436248115,57629.605967463445
2020-03-29,53471.982142857145,56803.11049828147,60250.39731103531,58440.82120330217,58953.4947709273
2020-04-05,52845.267857142855,56177.88808426177,58931.98650020898,55485.94074252137,56374.64186722515
2020-04-12,47210.88690476191,56973.07897388829,55517.85008815119,57425.42685036377,56868.0773086564
2020-04-19,47415.69642857143,55909.94709533153,55873.213841824276,51306.79857008222,50407.50961141259
2020-04-26,50172.416666666664,56977.16391366959,57968.54551373471,52194.22282015308,52173.068067435386
2020-05-03,48161.90476190476,54487.93569461128,55395.27178830592,52509.713657937806,51756.695431986554
2020-05-10,49590.77976190476,54686.14399745711,57394.338355839434,54085.9072133645,53868.1388564083
2020-05-17,50926.97619047619,56557.631849247366,58220.05663569317,54002.62034828514,53840.36614300351
2020-05-24,47439.642857142855,54644.267763235985,55762.96439609279,53497.77924773241,52388.287353014166
2020-05-31,49527.607142857145,55495.58561932023,57364.661641761995,53102.807990221096,53265.73801499635
2020-06-07,48776.244047619046,57086.28147137724,56929.41051252261,53294.609544642844,52382.952241395185
2020-06-14,48219.744047619046,56784.71736884684,57511.423498730706,53200.90731412983,53021.346595023984
2020-06-21,49813.94642857143,57582.90465241716,58300.13207156844,53203.854283942754,53375.93826627701
2020-06-28,50480.791666666664,56970.08695022553,57457.740321986996,53939.50163619614,54054.3630490514
2020-07-05,51458.875,57246.81055615121,58055.57351698981,53912.67342538264,53815.380667388476
2020-07-12,51252.57738095238,55550.669067614086,56713.36860533167,53288.48564730855,53036.08138635995
2020-07-19,50896.18452380953,55162.1921614614,56437.86674330375,53024.814276644,52612.74037174998
2020-07-26,50475.73809523809,56219.34430718076,57504.01435918136,53340.540374362245,52691.76895944272
2020-08-02,50049.392857142855,56034.41385165573,57320.67595372139,53146.70911146543,52829.12549213032
2020-08-09,49450.92261904762,55393.97124698243,56121.78190974854,53170.89333808107,53003.13292816574
2020-08-16,52076.73809523809,54630.791005893145,55047.262261767566,53261.618929280055,53533.85354469427
2020-08-23,51872.05952380953,55829.849866401506,56237.83450849505,53209.89206668083,53385.11214459012
2020-08-30,51653.375,55817.62845899456,56714.613872014204,53364.07178592686,53226.80880852916
2020-09-06,51617.744047619046,56189.91905554566,57360.92602425499,52884.892707199586,52591.072292442186
2020-09-13,51507.630952380954,56564.445409416265,57545.261738596615,53155.168296201824,52701.8757093515
2020-09-20,52181.32738095238,57589.9529523663,58312.84237021829,53126.979278840714,52794.34059034956
2020-09-27,53411.93452380953,57390.37309673071,57971.470728529,53949.54363895972,53428.72610740496
2020-10-04,57410.319444444445,55756.488764665075,56376.18988235987,53824.48393787613,53556.67357140671
