,p,d,q,P,D,Q,AIC,BIC
194,3,0,0,0,1,0,4381.677590791658,4395.698916935387
82,1,0,2,0,1,0,4382.170939111976,4396.192265255705
116,1,1,2,1,0,0,4382.34979836156,4399.8967400447
242,3,1,2,0,1,0,4382.644457234361,4403.652006497629
202,3,0,1,0,1,0,4382.6735693016035,4400.200226981266
108,1,1,1,1,0,0,4383.234371264976,4397.271924611488
146,2,0,2,0,1,0,4388.79161712331,4406.318274802972
210,3,0,2,0,1,0,4389.252433426085,4410.284422641679
157,2,0,3,1,0,1,4392.443193918278,4420.453259602636
221,3,0,3,1,0,1,4393.024772305531,4424.536096200433
26,0,0,3,0,1,0,4393.946552857378,4407.951585699557
93,1,0,3,1,0,1,4395.386753056537,4419.89556053035
42,0,1,1,0,1,0,4395.978173182144,4402.988836254009
106,1,1,1,0,1,0,4396.3086251301775,4406.824619737975
170,2,1,1,0,1,0,4396.361615773572,4410.382941917302
162,2,1,0,0,1,0,4397.6342338485,4408.150228456298
138,2,0,1,0,1,0,4401.891193409152,4415.928746755664
74,1,0,1,0,1,0,4402.58181582451,4413.109980834394
130,2,0,0,0,1,0,4406.118830499237,4416.646995509122
100,1,1,0,1,0,0,4407.728547491561,4418.256712501445
57,0,1,3,0,0,1,4407.836076076297,4425.321917202763
220,3,0,3,1,0,0,4408.349372851499,4436.392025138957
212,3,0,2,1,0,0,4408.640439581655,4433.177760333182
101,1,1,0,1,0,1,4408.97726613154,4423.014819478052
149,2,0,2,1,0,1,4409.19312443948,4433.730445191007
185,2,1,3,0,0,1,4409.570845652073,4434.051023229125
213,3,0,2,1,0,1,4410.6354651394795,4438.678117426938
133,2,0,0,1,0,1,4411.002971754944,4428.549913438084
85,1,0,2,1,0,1,4413.1765854267505,4434.2085746423445
204,3,0,1,1,0,0,4414.021886078241,4435.053875293835
44,0,1,1,1,0,0,4414.237406823162,4424.777693061657
52,0,1,2,1,0,0,4414.266759809507,4428.320474794166
60,0,1,3,1,0,0,4416.252931189578,4433.8200749204025
197,3,0,0,1,0,1,4416.5699072201405,4437.6018964357345
121,1,1,3,0,0,1,4421.151828368381,4442.13483772014
18,0,0,2,0,1,0,4421.596595657408,4432.112590265206
249,3,1,3,0,0,1,4422.65658862117,4450.633934423516
241,3,1,2,0,0,1,4423.096953757578,4447.605761231392
148,2,0,2,1,0,0,4424.629810532017,4445.686140551785
124,1,1,3,1,0,0,4424.717301284244,4445.773631304012
49,0,1,2,0,0,1,4425.5313695130135,4439.536402355192
156,2,0,3,1,0,0,4426.418999093972,4450.984717450368
98,1,1,0,0,1,0,4432.530392712561,4439.549169385817
141,2,0,1,1,0,1,4435.002016981588,4456.058347001356
113,1,1,2,0,0,1,4435.2345370846015,4452.7408281373255
140,2,0,1,1,0,0,4436.189022544415,4453.735964227555
177,2,1,2,0,0,1,4437.100831769028,4458.108381032297
153,2,0,3,0,0,1,4437.194422550971,4461.703230024784
92,1,0,3,1,0,0,4437.741525584215,4458.822098061205
217,3,0,3,0,0,1,4438.621569568035,4466.631635252393
105,1,1,1,0,0,1,4439.222639630907,4453.243965774636
